no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
11,AREALIS Liegenschaftsmanagement GmbH,MAIN,Michael Widschwendter; Ivana Krenstetter,http://www.arealis.at/,8,https://www.arealis.at/ | https://www.arealis.at/en/management-of-the-new-ikea-store/ | https://www.arealis.at/impressum/ | https://www.arealis.at/mieter/downloads/ | https://www.arealis.at/wp-content/uploads/2021/08/Meldezettel.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Einzugsermaechtigung-IBAN_BIC.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Schluesselbestellung.pdf | https://www.arealis.at/wp-content/uploads/2021/08/Anleitung_Wohnungswechsel.pdf,+435035028600,office@arealis.at,yes
12,FLE GmbH,MAIN,Gilles Etrillard; Alexander Klafsky,,0,,,,yes
13,Immobilienverwaltung Mag. Alois Rosenberger GmbH,MAIN,Alois Rosenberger,https://www.iv-ro.at/,3,https://iv-ro.at/ | https://iv-ro.at/kontakt/ | https://iv-ro.at/impressum/,+4313324298 | +4313324298160 | +4313304496,,yes
14,OM Objektmanagement GmbH,MAIN,Renate Tomaschek; Petra Antoni,,0,,,,yes
15,Stadt Wien - Wiener Wohnen Kundenservice GmbH,MAIN,Angelika Flatz; Marcel Kremmer,,0,,,,yes
16,Wohnfit Hausverwaltungs GmbH,MAIN,Sargon Gecer; Kresimir Azdajic,,0,,,,yes
17,at home FM Services GmbH,MAIN,Alexander Hießböck; Thomas Fischmann,,0,,,,yes
18,GBG Gebäude- und Baumanagement Graz GmbH,MAIN,Günter Hirner,http://www.gbg.graz.at/,1,https://www.gbg.graz.at/,,,yes
19,Ing. Werner Wilhelm Bayer,MAIN,Werner Bayer,http://www.svbayer.at/,4,https://www.svbayer.at/ | https://www.svbayer.at/ueber-uns | https://www.svbayer.at/kontakt | https://www.svbayer.at/impressum,+43335232660337 | +43335232660 | +4312161411 | +433352326600 | +4333523266016 | +4333523266030 | +4333523266011,office@svbayer.at | klaus.bayer@svbayer.at,yes
20,PMV Immobilien Management GmbH,MAIN,Florian Hörmann,,0,,,,yes
